City,Location,DT,Clouds,Feels Like,Humidity,Pressure,Temp,Temp Max,Temp Min,Weather Main,Wind Degree,Wind Speed,Is Rain,Atmospheric Pressure Ratio,Wind Impact
DaNang,HoaVang,1653091200,40,29.91,83,1007,26.95,26.95,26.95,Clouds,210,2.06,0,0.9938317295830249,0.5280676502115995
DaNang,LienChieu,1653102000,100,32.95,76,1007,28.62,28.62,28.62,Rain,350,1.33,1,0.9938317295830249,0.5671409368822007
DaNang,NguHanhSon,1653105600,100,31.65,80,1006,27.82,27.82,27.82,Clouds,23,2.83,0,0.9928448063163089,0.9977260056085651
DaNang,HaiChau,1653105600,100,31.65,80,1006,27.82,27.82,27.82,Clouds,23,2.83,0,0.9928448063163089,0.9977260056085651
QuangNam,TP_TamKy,1653112800,100,34.3,74,1005,29.33,29.33,29.33,Clouds,28,3.1,0,0.9918578830495929,1.3603573563177485
QuangNam,TP_HoiAn,1653112800,100,37.98,79,1004,30.98,30.98,30.98,Rain,33,2.84,1,0.9908709597828769,1.6672770890755022
DaNang,LienChieu,1653116400,20,38.87,66,1004,31.95,31.95,31.95,Clouds,150,2.06,0,0.9908709597828769,1.234536533602793
QuangNam,TP_TamKy,1653116400,100,33.54,80,1004,28.56,28.56,28.56,Rain,45,2.7,1,0.9908709597828769,0.9507757779834319
QuangNam,TP_HoiAn,1653116400,99,38.98,79,1004,31.98,31.98,31.98,Clouds,23,3.25,0,0.9908709597828769,2.0941485416043006
QuangNam,TP_HoiAn,1653130800,99,32.36,82,1003,27.98,27.98,27.98,Clouds,56,1.52,0,0.9898840365161609,0.3722882674146843
DaNang,CamLe,1653134400,40,32.54,83,1004,27.99,27.99,27.99,Clouds,110,2.06,0,0.9908709597828769,0.3205754803391493
DaNang,HaiChau,1653141600,40,32.54,83,1005,27.99,27.99,27.99,Clouds,170,1.54,0,0.9918578830495929,0.6900547925356543
DaNang,LienChieu,1653141600,40,32.44,83,1005,27.95,27.95,27.95,Clouds,170,1.54,0,0.9918578830495929,0.6809551688978213
QuangNam,TX_DienBan,1653141600,40,32.54,83,1005,27.99,27.99,27.99,Clouds,170,1.54,0,0.9918578830495929,0.6900547925356543
